Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
石岡隆治,45,13,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0
大沼瑞穂,40,1,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0
芳賀道也,61,3,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
小野沢健至,49,13,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0
森雅子,54,1,1.0,5.0,3.0,4.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0
水野さちこ,57,3,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
田山雅仁,35,13,4.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0
田中健,53,13,1.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0
海野徹,70,7,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0
小沼巧,33,4,2.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0
