ID,NAME,KANA,AGE,PIC,PARTY,PREFEC,DISTRICT,PRBLOCK,Q2_1,Q2_2,Q2_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_11,SQ8_12,SQ8_13,SQ8_14,SQ8_15,SQ8_16
id_000015Q0,三村 和也,みむら かずや,46,P_20210811SNSA0003S,2,14,18,NA,3,2,4,2,4,2,1,4,5,4,2,1,2,4,2,4,5,2,2,1,2,2,4,2,2,3,2,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001O51,横田 光弘,よこた みつひろ,63,P_20210827SNSA0008S,5,14,18,NA,2,3,4,1,1,1,5,1,5,3,1,1,3,5,5,2,1,5,5,5,1,1,3,3,4,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
id_ZZZZZ0FJ,山際 大志郎,やまぎわ だいしろう,53,P_20210813SNSA0001S,1,14,18,NA,2,3,6,1,1,3,3,2,3,3,3,5,3,3,2,3,1,5,5,3,1,1,2,3,5,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
id_00001MMG,石崎 徹,いしざき とおる,37,P_20210730SNSA0077S,5,15,1,NA,4,3,7,1,2,2,3,2,3,3,2,2,2,2,3,2,3,3,4,3,3,1,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
id_ZZZZZ0ZT,塚田 一郎,つかだ いちろう,57,P_20210730SNSA0048S,1,15,1,NA,2,3,4,1,2,2,2,2,3,2,2,3,3,3,2,3,2,4,4,3,1,1,3,2,4,2,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
id_ZZZZZ0FL,西村 智奈美,にしむら ちなみ,54,P_20210730SNSA0003S,2,15,1,NA,2,1,4,3,5,3,1,5,5,3,3,3,2,2,3,5,4,1,1,3,4,4,5,2,2,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
id_00000FZC,高倉 栄,たかくら さかえ,50,P_20211007SNSA0017S,6,15,2,NA,2,3,5,3,3,3,2,3,4,2,2,1,2,3,2,5,3,1,1,1,5,2,5,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id_00001NK4,細田 健一,ほそだ けんいち,57,P_20211007SNSA0014S,1,15,2,NA,4,2,3,1,1,1,3,1,2,2,1,5,2,4,2,2,1,4,4,4,1,2,2,3,5,3,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
id_00001SHJ,平 あや子,たいら あやこ,41,P_20211007SNSA0013S,4,15,2,NA,1,4,2,5,5,5,1,5,5,1,1,1,1,1,3,5,5,1,1,1,5,3,5,1,1,4,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_0000008D,黒岩 宇洋,くろいわ たかひろ,55,P_20210730SNSA0005S,2,15,3,NA,2,3,4,2,5,2,1,5,4,2,2,1,1,1,2,4,4,1,1,1,2,2,4,2,2,2,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001NDE,斎藤 洋明,さいとう ひろあき,44,P_20210730SNSA0023S,1,15,3,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ0FV,菊田 真紀子,きくた まきこ,52,P_20210730SNSA0009S,2,15,4,NA,2,3,4,3,4,4,1,4,4,3,2,2,2,2,2,3,5,1,2,1,2,2,4,2,1,3,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00000CUJ,国定 勇人,くにさだ いさと,49,P_20210730SNSA0029S,1,15,4,NA,4,2,8,2,3,2,1,2,4,2,1,4,2,3,2,2,2,3,3,2,2,3,2,1,3,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
id_000004FS,米山 隆一,よねやま りゅういち,54,P_20210915SNSA0032S,12,15,5,NA,3,2,1,3,3,2,2,3,4,2,2,2,2,2,2,3,3,1,1,1,2,2,4,3,2,3,2,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_0000138L,森 民夫,もり たみお,72,P_20210921SNSA0010S,12,15,5,NA,3,2,4,2,3,3,1,3,5,3,2,3,2,3,3,5,5,1,3,1,2,3,4,1,2,3,2,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_0000160B,泉田 裕彦,いずみだ ひろひこ,59,P_20210915SNSA0029S,1,15,5,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00000FVS,梅谷 守,うめたに まもる,47,P_20210730SNSA0008S,2,15,6,NA,2,3,1,3,5,3,1,4,4,1,1,1,2,3,4,4,2,1,2,2,3,3,4,2,2,2,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1
id_ZZZZZ0G6,高鳥 修一,たかとり しゅういち,61,P_20210730SNSA0034S,1,15,6,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001RQT,神鳥 古賛,かんどり こさん,53,P_20211019SNSA0007S,12,15,6,NA,99,99,99,1,3,5,3,5,5,2,1,1,1,1,4,4,5,2,5,5,1,1,5,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
id_ZZZZZAAP,青山 了介,あおやま りょうすけ,46,P_20210727SNSA0030S,4,16,1,NA,2,1,3,5,5,5,1,5,5,1,2,1,1,2,3,5,5,1,1,1,5,3,5,1,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ0GC,西尾 政英,にしお まさえい,60,P_20210729SNSA0005S,2,16,1,NA,2,3,4,4,5,3,2,5,5,4,4,2,1,2,3,4,4,1,1,1,4,3,5,2,2,4,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001DJP,田畑 裕明,たばた ひろあき,48,P_20210719SNSA0014S,1,16,1,NA,3,2,8,2,2,2,1,1,4,3,4,1,3,3,2,3,2,2,5,4,1,2,2,3,4,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
id_00000FNR,吉田 豊史,よしだ とよふみ,51,P_20210720SNSA0001S,5,16,1,NA,2,3,4,1,2,2,3,3,3,3,1,1,3,3,3,3,1,2,2,2,2,2,3,4,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
id_ZZZZZ2SV,上田 英俊,うえだ えいしゅん,56,P_20210720SNSA0009S,1,16,2,NA,3,2,7,2,3,2,1,1,3,3,2,5,3,3,3,2,3,5,5,5,2,1,3,3,4,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_00002L4R,越川 康晴,こしかわ やすはる,57,P_20210902SNSA0012S,2,16,2,NA,1,4,3,1,5,3,1,5,5,1,1,1,1,1,3,5,3,2,3,2,3,2,2,2,2,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_000002TS,橘 慶一郎,たちばな けいいちろう,60,P_20210719SNSA0013S,1,16,3,NA,3,2,4,2,3,2,2,2,4,2,3,4,2,3,4,3,2,3,4,3,2,3,4,3,4,4,4,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
id_ZZZZZ0GG,坂本 洋史,さかもと ひろし,51,P_20210727SNSA0028S,4,16,3,NA,1,4,2,4,5,3,1,5,5,2,3,1,1,1,3,5,5,1,1,1,5,3,3,1,1,4,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00000O3W,小林 誠,こばやし まこと,44,P_20210727SNSA0019S,5,17,1,NA,2,3,4,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
id_00002IQE,荒井 淳志,あらい あつし,27,P_20200915SNSA0004S,2,17,1,NA,2,3,4,1,4,3,1,4,5,2,1,2,1,2,2,4,4,1,1,1,2,3,4,3,3,3,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
id_00002LG5,小森 卓郎,こもり たくお,51,P_20211006SNSA0023S,1,17,1,NA,2,3,4,1,2,3,1,1,3,1,2,5,3,4,2,3,1,3,4,2,1,3,3,3,4,3,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
id_00001PDC,亀田 良典,かめだ りょうすけ,72,P_20200915SNSA0005S,4,17,1,NA,1,2,4,5,5,5,1,5,5,1,2,1,1,1,3,5,5,1,2,1,5,5,5,3,1,5,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ0GO,坂本 浩,さかもと ひろし,57,P_20200915SNSA0006S,4,17,2,NA,2,1,4,4,5,5,1,5,5,3,3,1,1,1,3,5,5,1,1,1,5,3,5,3,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
